,Time [s],aYMPS2 [m/s^2],Polynomial [m/s^2],Kalman1 [m/s^2],Kalman2 [m/s^2]
0,0.002,35.87689234444391,-129.89212672135355,-686.2362793323888,-825.5758311107897
1,0.0073333333333333,-1982.3090058419168,-129.8894954705472,-952.7271451852017,-833.6261129210867
2,0.008,-858.8030189481228,-129.8816473058278,-1042.0697011015977,-831.3382486950962
3,0.0093333333333333,-209.0351842089557,-129.86861922246933,-1103.5507251432596,-828.8032015368285
4,0.0113333333333333,-2941.1406602276397,-129.85044809415385,-1217.9703587535794,-831.8460665345117
5,0.012,-725.7063011499145,-129.82717067313965,-1043.783719163601,-815.9052801889567
6,0.0133333333333333,-699.6415132538542,-129.79882359042873,-877.6563099413863,-800.776284654753
7,0.0153333333333333,-191.80072672096907,-129.76544335593476,-766.314858772237,-786.5575020631574
8,0.022,-250.50071261314054,-129.72706635865077,-792.3408093416919,-777.6915304496415
9,0.0266666666666666,-1602.9151197872147,-129.68372886681684,-937.9468550615167,-773.5702761966542
10,0.0273333333333333,-736.326362182577,-129.635467028088,-1013.7482470574689,-761.9849183513518
11,0.0286666666666666,-1355.7165402095811,-129.5823168697018,-1111.7769140333603,-750.6304875115683
12,0.0293333333333333,-1239.1682615828945,-129.52431429864632,-1149.947430140343,-733.8302821975028
13,0.03,-1161.10883733564,-129.46149510182772,-1138.1763627256692,-712.4820350689688
14,0.0306666666666666,-1048.8616986543268,-129.39389494623813,-1086.4593184907374,-687.0961467200348
15,0.0313333333333333,-968.1849837321636,-129.3215493791233,-1006.5093253593234,-658.4543684036921
16,0.032,-913.6602383188622,-129.24449382815047,-900.299312005999,-627.0250145493932
17,0.0326666666666666,-853.4520171381748,-129.16276360157605,-760.7285739695421,-593.015943681169
18,0.0333333333333333,-816.0988483740722,-129.07639388841343,-579.2647745284429,-556.6629481518318
19,0.0339999999999999,-152.9891376926258,-128.98541975860076,-350.1731098959321,-517.9750295204943
20,0.0373333333333333,-368.74156576404664,-128.88987616316865,-149.21505134239618,-482.57198391560775
21,0.0386666666666666,-351.9455008532322,-128.78979793440791,52.63918034949802,-448.19341207408524
22,0.04,1853.8591856615049,-128.68521978603746,239.30148097053086,-414.6810714335504
23,0.0406666666666666,-639.7331674080747,-128.57617631337192,133.80522292373095,-401.5855931068711
