,Time [s],Net Acceleration [m/s^2],Thrust Force [N]
0,0.002,35.87689234444391,-1698.115563073311
1,0.0073333333333333,-1982.3090058419168,-1830.6543082661751
2,0.008,-858.8030189481228,-2074.6832855038997
3,0.0093333333333333,-209.0351842089557,-2297.7335725888206
4,0.0113333333333333,-2941.1406602276397,-2506.7331633092363
5,0.012,-725.7063011499145,-2695.5282690670147
6,0.0133333333333333,-699.6415132538542,-2869.801566138804
7,0.0153333333333333,-191.80072672096907,-3034.2604090361992
8,0.022,-250.50071261314054,-3187.881772121071
9,0.0266666666666666,-1602.9151197872147,-3334.779564828404
10,0.0273333333333333,-736.326362182577,-3362.3176096130765
11,0.0286666666666666,-1355.7165402095811,-3435.148932072605
12,0.0293333333333333,-1239.1682615828945,-3141.6835011746416
13,0.03,-1161.10883733564,-2653.4043043449087
14,0.0306666666666666,-1048.8616986543268,-2730.92994132075
15,0.0313333333333333,-968.1849837321636,-2205.0091180062896
16,0.032,-913.6602383188622,-2085.898797965425
17,0.0326666666666666,-853.4520171381748,-1964.972738131102
18,0.0333333333333333,-816.0988483740722,-1929.7888194163668
19,0.0339999999999999,-152.9891376926258,-1878.7791964360752
20,0.0373333333333333,-368.74156576404664,-2033.8961618848102
21,0.0386666666666666,-351.9455008532322,-1886.4806948613586
22,0.04,1853.8591856615049,-2079.922984300973
23,0.0406666666666666,-639.7331674080747,-1841.1278231155025
24,0.0413333333333333,-19.358308480636552,-1617.8076123837275
25,0.0446666666666666,-63.982300922888754,-1416.2928370151924
26,0.0453333333333333,-27.830069729839753,-1229.9197748932959
27,0.046,3.6654883608941193,-1053.9662921601114
28,0.0466666666666666,32.886081721813554,-890.4033425667099
29,0.0473333333333333,-2464.676038946854,-734.8386971520114
30,0.048,82.64845461437667,-700.2292070177783
31,0.0486666666666666,-2430.3959259852177,-627.2267000660108
32,0.0493333333333333,87.47152278083115,-557.2866136878039
33,0.0499999999999999,79.55900006310952,-885.3917972120679
34,0.0506666666666666,70.66483117086872,-765.1294801427861
