,tCont,vYSmooth
206,0.165333333,4.638289952
207,0.166,4.654712316
208,0.166666667,4.674350671
209,0.167333333,4.683811146
210,0.168,4.714367315
211,0.168666667,4.728165889
212,0.169333333,4.740415148
213,0.17,4.74950156
214,0.170666667,4.769194068
215,0.171333333,4.789400729
216,0.172,4.806186951
217,0.172666667,4.834961037
218,0.173333333,4.837574953
219,0.174,4.840849713
220,0.174666667,4.860235864
221,0.175333333,4.871095989
222,0.176,4.873920555
223,0.176666667,4.903646293
224,0.177333333,4.905091075
225,0.178,4.946414044
226,0.178666667,4.967848373
227,0.179333333,4.965602271
228,0.18,5.003546699
229,0.180666667,5.02124677
230,0.181333333,5.054001128
231,0.182,5.068470249
232,0.182666667,5.1088348
233,0.183333333,5.137768949
234,0.184,5.147266412
235,0.184666667,5.177056124
236,0.185333333,5.192836936
237,0.186,5.194147005
238,0.186666667,5.212584343
239,0.187333333,5.25109269
240,0.188,5.279467002
241,0.188666667,5.292581867
242,0.189333333,5.298176755
243,0.19,5.311593031
244,0.190666667,5.336277374
245,0.191333333,5.352361218
246,0.192,5.363047519
247,0.192666667,5.371371572
248,0.193333333,5.43116796
249,0.194,5.443886898
250,0.194666667,5.445912242
251,0.195333333,5.433546094
252,0.196,5.423270504
253,0.196666667,5.448080866
254,0.197333333,5.455376594
255,0.198,5.448198784
256,0.198666667,5.445008565
257,0.199333333,5.447755218
258,0.2,5.486548033
259,0.200666667,5.505913182
260,0.201333333,5.518267898
261,0.202,5.50900667
262,0.202666667,5.520197145
263,0.203333333,5.52348972
264,0.204,5.556112443
265,0.204666667,5.551825071
266,0.205333333,5.561850433
267,0.206,5.550315955
268,0.206666667,5.526232468
269,0.207333333,5.520851203
270,0.208,5.547126788
271,0.208666667,5.565713901
272,0.209333333,5.572700533
273,0.21,5.609957665
274,0.210666667,5.652794195
275,0.211333333,5.658422719
276,0.212,5.713525225
277,0.212666667,5.739386731
278,0.213333333,5.795172674
279,0.214,5.840616697
280,0.214666667,5.921179061
281,0.215333333,5.975147162
282,0.216,6.007713525
283,0.216666667,6.059076522
284,0.217333333,6.151585555
285,0.218,6.237457838
286,0.218666667,6.328161906
287,0.219333333,6.46817857
288,0.22,6.582877942
289,0.220666667,6.778388567
290,0.221333333,6.933049913
291,0.222,7.070508455
292,0.222666667,7.245597141
293,0.223333333,7.440317077
294,0.224,7.629248265
295,0.224666667,7.8952614
296,0.225333333,8.160831945
297,0.226,8.502791628
298,0.226666667,8.865708536
299,0.227333333,9.252798246
300,0.228,9.640085776
301,0.228666667,10.08369648
302,0.229333333,10.55711514
303,0.23,11.09957213
304,0.230666667,11.72921189
305,0.231333333,12.41385414
306,0.232,13.16509971
307,0.232666667,14.0015575
308,0.233333333,14.91611578
309,0.234,16.03657783
310,0.234666667,17.15030773
311,0.235333333,18.35932427
312,0.236,19.81822723
313,0.236666667,21.19077603
314,0.237333333,22.74734435
315,0.238,24.3888655
316,0.238666667,26.27462402
317,0.239333333,28.30624657
318,0.24,30.51231311
319,0.240666667,32.77211157
320,0.241333333,-21.82479293
321,0.242,-19.53850147
322,0.242666667,-17.49144771
323,0.243333333,-15.62014424
324,0.244,-13.76354423
325,0.244666667,-12.06070306
326,0.245333333,-10.48259025
327,0.246,-9.069979488
328,0.246666667,-7.755330069
329,0.247333333,-6.570331045
330,0.248,-5.485732573
331,0.248666667,-4.455394089
332,0.249333333,-3.565682103
333,0.25,-2.783130368
334,0.250666667,-2.028636024
335,0.251333333,-1.368429643
336,0.252,-0.721649743
337,0.252666667,-0.106185031
338,0.253333333,0.47568292
339,0.254,1.032626651
340,0.254666667,1.534971155
341,0.255333333,2.02769685
342,0.256,2.430063826
343,0.256666667,2.825006484
344,0.257333333,3.148986351
345,0.258,3.462512434
346,0.258666667,3.808027123
347,0.259333333,4.066916669
348,0.26,4.335807763
349,0.260666667,4.56880066
350,0.261333333,4.791120107
351,0.262,5.014447488
352,0.262666667,5.238652599
353,0.263333333,5.44532473
354,0.264,5.642800123
355,0.264666667,5.814765283
356,0.265333333,6.008675558
357,0.266,6.19666369
358,0.266666667,6.324502327
359,0.267333333,6.494261852
360,0.268,6.635725229
361,0.268666667,6.773394793
362,0.269333333,6.900719218
363,0.27,7.009402087
364,0.270666667,7.122738569
365,0.271333333,7.214637868
366,0.272,7.319155996
367,0.272666667,7.425896055
368,0.273333333,7.521895059
369,0.274,7.632075532
370,0.274666667,7.73796336
371,0.275333333,7.843894895
372,0.276,7.933205707
373,0.276666667,8.022732987
374,0.277333333,8.101520944
375,0.278,8.197107404
376,0.278666667,8.265039565
377,0.279333333,8.371035333
378,0.28,8.441861293
379,0.280666667,8.556745865
380,0.281333333,8.639439424
381,0.282,8.695157387
382,0.282666667,8.797122412
383,0.283333333,8.877169413
384,0.284,8.960178695
385,0.284666667,9.012607638
386,0.285333333,9.062022037
387,0.286,9.113135097
388,0.286666667,9.219358247
389,0.287333333,9.260743351
390,0.288,9.316774119
391,0.288666667,9.377473667
392,0.289333333,9.431263585
393,0.29,9.493178303
394,0.290666667,9.535620336
395,0.291333333,9.555181214
396,0.292,9.602790814
397,0.292666667,9.646118286
398,0.293333333,9.721968229
399,0.294,9.768433605
400,0.294666667,9.811376237
401,0.295333333,9.870166943
402,0.296,9.926147808
403,0.296666667,9.971304287
404,0.297333333,9.993595456
405,0.298,10.03565502
406,0.298666667,10.06944161
407,0.299333333,10.08982023
408,0.3,10.1379125
409,0.300666667,10.16590748
410,0.301333333,10.18263968
411,0.302,10.25373278
412,0.302666667,10.27613993
413,0.303333333,10.33720427
414,0.304,10.41974438
415,0.304666667,10.44634457
416,0.305333333,10.45873139
417,0.306,10.49117427
418,0.306666667,10.493784
419,0.307333333,10.49904274
420,0.308,10.54098514
421,0.308666667,10.55850034
422,0.309333333,10.58263879
423,0.31,10.59641547
424,0.310666667,10.60651669
425,0.311333333,10.61527318
426,0.312,10.63310472
427,0.312666667,10.66954486
428,0.313333333,10.69113524
429,0.314,10.71121004
430,0.314666667,10.72537404
431,0.315333333,10.76973357
432,0.316,10.79986632
433,0.316666667,10.8478569
434,0.317333333,10.91081298
435,0.318,10.98346009
436,0.318666667,11.05861441
437,0.319333333,11.14016847
438,0.32,11.24160087
439,0.320666667,11.38649962
440,0.321333333,11.54588747
441,0.322,11.71814661
442,0.322666667,11.8426549
443,0.323333333,12.02029063
444,0.324,12.2317645
445,0.324666667,12.4870387
446,0.325333333,12.67512125
447,0.326,12.85677945
448,0.326666667,13.10744542
449,0.327333333,13.4330237
450,0.328,13.82074725
451,0.328666667,14.18285612
452,0.329333333,14.61602086
453,0.33,15.17763527
454,0.330666667,15.75006262
455,0.331333333,16.29473285
456,0.332,16.98551176
457,0.332666667,17.73832297
458,0.333333333,18.59700676
459,0.334,19.54438816
460,0.334666667,20.55112966
461,0.335333333,21.70379006
462,0.336,22.9670282
463,0.336666667,24.3628295
464,0.337333333,25.86919116
465,0.338,27.49896435
466,0.338666667,29.42184873
467,0.339333333,31.43482625
468,0.34,33.69783962
469,0.340666667,36.13702179
470,0.341333333,38.86722685
471,0.342,-4.203801838
472,0.342666667,-1.408366557
473,0.343333333,1.233878275
474,0.344,3.853377486
475,0.344666667,6.358798902
476,0.345333333,8.83132333
477,0.346,11.29740609
478,0.346666667,13.82026457
479,0.347333333,16.36602481
480,0.348,18.97728059
481,0.348666667,-23.04593231
482,0.349333333,-20.54527401
483,0.35,-18.30482032
484,0.350666667,-16.32139155
485,0.351333333,-14.47489608
486,0.352,-12.86011815
487,0.352666667,-11.37892206
488,0.353333333,-9.617603381
489,0.354,-8.024418843
490,0.354666667,-6.56053714
491,0.355333333,-5.22714954
492,0.356,-4.011262337
493,0.356666667,-2.85870387
494,0.357333333,-1.864324896
495,0.358,-0.90331059
496,0.358666667,-0.035905412
