,tCont,xCont,yCont,zCont
166,0.11399999999999996,0.7030089840182422,0.08675724721781963,0.41447054721016907
167,0.11466666666666663,0.7060939124554492,0.083695514312263,0.41975878705827663
168,0.1153333333333333,0.7091053937271098,0.08070667632409224,0.424945261115499
169,0.11599999999999996,0.7120443127388335,0.07778985500129115,0.4300309011161888
170,0.11666666666666663,0.7149115543962287,0.07494417209184301,0.43501663879469943
171,0.11733333333333329,0.717708003604905,0.07216874934373088,0.4399034058853849
172,0.11799999999999997,0.7204345452704712,0.06946270850493794,0.4446921341225978
173,0.11866666666666663,0.7230920642985358,0.06682517132344803,0.4493837552406912
174,0.11933333333333329,0.7256814455947086,0.06425525954724387,0.453979200974019
175,0.11999999999999997,0.728203574064598,0.06175209492430919,0.45847940305693446
176,0.12066666666666663,0.730659334613813,0.059314799202627055,0.4628852932237903
177,0.1213333333333333,0.7330496121479627,0.05694249413018057,0.46719780320894067
178,0.12199999999999996,0.7353752915726566,0.054634301454953654,0.47141786474673786
179,0.12266666666666663,0.7376372577935026,0.05238934292492903,0.475546409571536
180,0.1233333333333333,0.7398363957161108,0.05020674028809016,0.4795843694176881
181,0.12399999999999996,0.7419735902460896,0.04808561529242028,0.48353267601954714
182,0.12466666666666663,0.7440497262890481,0.04602508968590316,0.48739226111146683
183,0.1253333333333333,0.7460656887505952,0.044024285216521436,0.4911640564278
184,0.12599999999999997,0.7480223625363399,0.04208232363225886,0.4948489937029006
185,0.12666666666666662,0.7499206325518915,0.04019832668109846,0.49844800467112094
186,0.1273333333333333,0.7517613837028585,0.03837141611102371,0.5019620210668154
187,0.12799999999999997,0.7535455008948504,0.03660071367001766,0.5053919746243368
188,0.12866666666666662,0.7552738690334758,0.03488534110606403,0.508738797078038
189,0.1293333333333333,0.756947373024344,0.03322442016714561,0.512003420162273
190,0.12999999999999995,0.7585668977730635,0.03161707260124624,0.5151867756113945
191,0.13066666666666663,0.7601333281852438,0.030062420156348968,0.5182897951597563
192,0.1313333333333333,0.7616475491664937,0.028559584580436892,0.5213134105417114
193,0.13199999999999995,0.7631104456224223,0.027107687621493542,0.5242585534916129
194,0.13266666666666663,0.7645229024586382,0.02570585102750217,0.5271261557438145
195,0.1333333333333333,0.7658858045807508,0.0243531965464463,0.5299171490326691
196,0.13399999999999995,0.7672000368943688,0.02304884592630868,0.5326324650925301
197,0.13466666666666663,0.7684664843051017,0.021791920915072927,0.5352730356577512
198,0.1353333333333333,0.7696860317185579,0.020581543260722368,0.5378397924626852
199,0.13599999999999995,0.7708595640403465,0.01941683471124034,0.5403336672416854
200,0.13666666666666663,0.7719879661760769,0.018296917014610115,0.5427555917291054
201,0.1373333333333333,0.7730721230313576,0.01722091191881492,0.5451064976592978
202,0.13799999999999996,0.774112919511798,0.016187941171838083,0.5473873167666172
203,0.13866666666666663,0.7751112405230067,0.015197126521662996,0.5495989807854152
204,0.13933333333333328,0.7760679709705928,0.014247589716272768,0.5517424214500466
205,0.13999999999999996,0.7769839957601656,0.013338452503650844,0.5538185704948637
206,0.14066666666666663,0.7778601997973338,0.012468836631780444,0.5558283596542204
207,0.14133333333333328,0.7786974679877064,0.011637863848645014,0.5577727206624694
208,0.14199999999999996,0.7794966852368926,0.010844655902227496,0.5596525852539647
209,0.14266666666666664,0.7802587364505009,0.010088334540511501,0.5614688851630592
210,0.14333333333333328,0.7809845065341406,0.009368021511480529,0.5632225521241055
211,0.14399999999999996,0.781674880393421,0.008682838563117468,0.5649145178714583
212,0.14466666666666664,0.7823307429339507,0.008031907443405595,0.5665457141394699
213,0.1453333333333333,0.7829529790613388,0.007414349900328465,0.5681170726624938
214,0.14599999999999996,0.7835424736811942,0.006829287681869356,0.5696295251748832
215,0.14666666666666664,0.7841001116991263,0.006275842536011322,0.5710840034109919
216,0.1473333333333333,0.7846267780207433,0.005753136210737975,0.5724814391051725
217,0.14799999999999996,0.7851233575516544,0.00526029045403259,0.5738227639917786
218,0.14866666666666664,0.7855907351974696,0.004796427013877835,0.5751089098051638
219,0.1493333333333333,0.7860297958637965,0.004360667638258042,0.5763408082796804
220,0.14999999999999997,0.7864414244562452,0.0039521340751558776,0.5775193911496828
221,0.15066666666666662,0.7868265058804237,0.0035699480725547295,0.5786455901495234
222,0.1513333333333333,0.787185925041942,0.0032132313784380417,0.5797203370135564
223,0.15199999999999997,0.7875205668464083,0.002881105740788814,0.5807445634761342
224,0.15266666666666662,0.7878313161994319,0.0025726929075903238,0.5817192012716109
225,0.1533333333333333,0.7881190580066215,0.002287114626826514,0.582645182134339
226,0.15399999999999997,0.7883846771735871,0.0020234926464798297,0.5835234377986716
227,0.15466666666666662,0.7886290586059365,0.0017809487145343805,0.5843548999989637
228,0.1553333333333333,0.7888530872092788,0.001558604578972611,0.5851405004695661
229,0.15599999999999997,0.7890576478892235,0.0013555819877785202,0.5858811709448347
230,0.15666666666666662,0.7892436255513796,0.0011710026889354408,0.5865778431591209
231,0.1573333333333333,0.7894119051013561,0.0010039884304259283,0.5872314488467782
232,0.15799999999999997,0.7895633714447614,0.0008536609602338707,0.5878429197421612
233,0.15866666666666662,0.789698909487205,0.0007191420263420456,0.588413187579622
234,0.1593333333333333,0.789819404134296,0.000599553376735118,0.5889431840935138
235,0.15999999999999995,0.7899257402916429,0.0004940167593946443,0.5894338410181904
236,0.16066666666666662,0.7900188028648552,0.0004016539223047344,0.5898860900880049
237,0.1613333333333333,0.790099476759541,0.0003215866134487211,0.5903008630373108
238,0.16199999999999995,0.7901686468813107,0.00025293658081015913,0.5906790916004607
239,0.16266666666666663,0.7902271981357722,0.00019482557237182618,0.5910217075118087
240,0.1633333333333333,0.7902760154285347,0.00014637533611672193,0.5913296425057081
241,0.16399999999999995,0.7903159836652071,0.00010670762002940037,0.591603828316511
242,0.16466666666666663,0.7903479877513993,7.4944172091862e-05,0.5918451966785723
243,0.1653333333333333,0.7903729125927191,5.02067402882167e-05,0.5920546793262443
244,0.16599999999999995,0.790391643094776,3.1617072601242135e-05,0.59223320799388
245,0.16666666666666663,0.7904050641631792,1.8296917014937186e-05,0.5923817144158336
246,0.1673333333333333,0.790414060703537,9.36802151185745e-06,0.592501130326458
247,0.16799999999999995,0.790419517621459,3.952134075002611e-06,0.5925923874601063
248,0.16866666666666663,0.7904223198225541,1.1710026888156477e-06,0.5926564175511324
