,id,mass,area,loading,span,chord,aspect
0,1,0.558,374.61215255998513,1489.6299444280428,35.925626953125,14.281454772949218,26.23067177088607
1,2,0.355,317.9348467778536,1116.6479660785953,32.322640136718746,13.821136413574218,23.0035242590905
2,3,0.644,1921.7784071126541,335.1263796160692,90.86755371093749,27.86380078125,68.97043307910276
3,4,0.377,747.5307601264802,504.35733231393556,67.54869946289062,23.829983276367184,31.36933632965769
4,5,0.678,1932.1654830727261,350.92267507113877,84.87400708007812,29.324856811523436,65.88831773301162
5,6,0.552,1402.3681576092754,393.64350723785213,82.93634692382811,24.488748046875,57.26581673039962
6,7,0.491,1152.4573680699361,426.0716913306265,67.82970263671874,26.46590881347656,43.54497614996314
7,8,0.424,1522.8921096459792,278.43432723449564,80.4151318359375,24.880065307617187,61.20932926891218
8,9,0.571,772.651677529915,739.0578142864267,59.89217431640624,22.89008459472656,33.754863348470074
9,10,0.488,1628.7951232388866,299.6259462206306,85.03235815429687,27.945665405273434,58.284356433020484
10,11,0.398,777.958118509517,511.6263594787987,60.457405517578124,19.854072143554685,39.18380636901579
11,12,0.606,342.6041521830243,1768.9113110230087,42.816995361328125,14.768614013671874,23.198124879278616
12,13,0.458,1221.6669068038937,374.9201009285621,71.76181420898436,24.79505786132812,49.270581001921336
