,id,mass,area,loading,span,chord,aspect,,,
60,61,0.5,1547.830663,323.0521348,68.84133191,29.21581744,52.97920095,3.06178776,,
61,62,0.3,966.8835971,310.293815,58.90199865,21.8880522,44.17403559,3.588276247,,
62,63,0.4,843.8237805,474.0610649,53.64288465,21.33102565,39.55851885,3.410142188,,
63,64,0.4,1226.0947,326.2586487,65.45668621,24.3477788,50.3575587,3.494491713,,
64,65,0.2,802.8736629,249.1201409,51.6838311,20.00911633,40.12539333,3.327071893,,
65,66,0.3,1075.490431,278.9592463,60.64812435,22.2479192,48.34116941,3.42001647,,
66,67,0.3,866.5505722,346.2209935,56.06097855,20.0536052,43.21171,3.626831966,,
67,68,0.1,720.763964,138.75,48.30182858,19.80635093,36.39054799,3.236935753,,
68,69,0.4,978.2993588,408.8973343,61.0226458,20.37266352,48.02019911,3.806363837,,
69,70,0.4,844.7663664,473.5321101,55.57832067,19.96954545,42.30273385,3.656572813,,
70,71,0.6,1043.756708,574.8810957,59.97919389,22.95866044,45.46243937,3.446687979,,
71,72,0.3,963.6369126,311.3392566,55.39932119,24.70233499,39.00995241,3.184897494,,
72,73,0.4,856.8105186,466.8756876,51.07267349,22.52203299,38.04321391,3.044334681,,
73,74,0.6,1495.464784,401.2371315,68.06797315,29.19536335,51.22268101,3.098199984,,
74,75,0.5,979.975067,510.2476755,62.70678771,20.03133545,48.92210354,4.012491091,,
75,76,0.6,1233.321191,486.5204654,72.83543129,22.428352,54.98938092,4.301393739,,
76,77,0.3,677.6144793,442.7561824,50.02547852,17.71040023,38.26082249,3.693174478,,
77,78,0.6,1151.63042,521.0317388,64.82597535,23.39577846,49.22385557,3.649093502,,
78,79,0.4,789.4679977,506.7007164,52.21334693,20.84662719,37.87029866,3.453254097,,
79,80,0.5,838.6919244,596.2022353,49.967566,22.28533747,37.63424832,2.976966368,,
80,81,0.4,1083.76424,369.1061075,58.95222256,25.82406099,41.96722739,3.206753293,,
81,82,0.4,1199.702297,333.4360541,63.01222336,24.89640095,48.18778021,3.309604644,,
82,83,0.6,1569.929064,382.2058039,72.91298086,27.67511778,56.72709604,3.386333115,,
83,84,0.6,1537.357487,390.3034948,72.27513307,27.2749938,56.36509025,3.397840062,,
84,85,0.3,776.6907232,386.2773058,52.03915895,19.51908758,39.79134373,3.486682644,,
85,86,0.6,1476.717799,406.3308511,73.58573119,26.43602867,55.86004681,3.666820999,,
86,87,0.5,1108.690399,451.0095881,58.80210951,26.1464294,42.40312822,3.118713833,,
87,88,0.4,1005.948543,397.6585112,60.63588262,20.46459171,49.1555638,3.654968524,,
88,89,0.5,1235.62529,404.6776996,67.75159467,23.31889231,52.98816402,3.714943856,,
89,90,0.4,1223.476406,326.9568567,63.86642082,26.15230061,46.78274482,3.333876884,,
90,91,0.6,989.08673,606.6566074,68.92603936,19.02712794,51.98297573,4.803217713,,
91,92,0.3,928.9707004,322.9574408,59.67359762,19.81942716,46.87172303,3.833208358,,
92,93,0.4,835.4452398,478.8153441,60.07517238,20.39180824,40.96964967,4.319883775,,
93,94,0.5,1324.752017,377.4517748,63.37140948,26.83017669,49.37544886,3.031462107,,
94,95,0.7,908.9669345,770.1512271,50.24489386,25.34697404,35.86096443,2.777383052,,
95,96,0.2,788.8396072,253.5521774,49.36182743,21.24100042,37.13759199,3.088828179,,
96,97,0.3,1100.311858,272.6663335,58.74276541,25.80899277,42.63288643,3.13612224,,
97,98,0.2,741.8150475,269.6251588,47.66604436,20.56988767,36.063155,3.062827847,,
98,99,0.3,1108.585667,270.6313179,56.95376922,25.54001694,43.40583129,2.926009172,,
99,100,0.3,634.2555312,473.0238606,50.2812175,16.18131904,39.1967756,3.986091897,,
