,,Explanatory Variables,,,,,,,,Response Variable,Repeat Tests,,,,
,id,Mass [g],Area [mm^2],Loading [mg/A],Span [b],Chord [c],aspect,Aspect Ratio = b^2/A,Aspect Ratio = b/c,Transition Time t [s],1,2,3,,When t = -1 seed does NOT transition
14,15,0.6,1400.158883,428.5485077,68.96562071,26.24253884,53.35455125,3.396940802,2.628008713,0.457,,,,,
15,16,0.8,1077.480334,742.5174961,64.49352131,22.33357114,48.2448744,3.860315737,2.887738862,0.463,,,,,
16,17,0.7,937.2445094,746.9150184,65.60613585,19.61082372,47.7922051,4.592360924,3.345404394,0.604,,,,,
17,18,0.4,922.0584044,433.8380282,58.83854838,20.29610733,45.43030786,3.754615498,2.899006564,0.51,,,,,
18,19,0.5,931.9031897,536.5686109,56.29438144,21.16045677,44.03984281,3.400629397,2.660357574,0.488,,,,,
19,20,0.4,818.4786949,488.7408829,52.42303104,21.22999998,38.55292962,3.357661232,2.469290207,0.48,0.457,0.469,-1,,
20,21,0.5,1066.4835,468.8586369,52.69406694,27.2295133,39.16645472,2.60357023,1.935182108,-1,0.532,-1,0.584,,
21,22,0.4,1109.842448,360.4331415,55.92712611,26.8865267,41.2787587,2.818276992,2.08011718,0.493,0.402,0.474,0.422,,
22,23,0.4,778.9948218,513.5130411,53.45020139,19.20213996,40.56812541,3.667449318,2.783554411,0.476,,,,,
23,24,0.2,880.1657008,227.2435745,49.99745802,25.179504,34.95564094,2.840085459,1.9856411,0.469,,,,,
24,25,0.3,968.0356465,309.9245375,57.33016918,22.24192054,43.52302422,3.395276104,2.57757279,0.41,,,,,
25,26,0.5,1295.217661,386.0586642,67.57259868,24.45359503,52.96634951,3.525319512,2.763299163,0.506,,,,,
26,27,0.5,1362.664914,366.9500807,68.5996119,26.24310623,51.92468078,3.453458518,2.614005038,0.463,-1,0.489,-1,,
27,28,0.5,1003.853908,498.1103286,61.29023196,21.25493385,47.22921816,3.742070936,2.883576698,0.387,,,,,
28,29,0.6,1002.282932,598.669279,55.82815178,24.81259085,40.39412642,3.109683337,2.249992841,0.44,,,,,
29,30,0.5,850.8408084,587.6892541,59.21315363,18.34600288,46.37744874,4.120862008,3.22757791,0.42,,,,,
30,31,0.6,1223.162211,490.5612638,66.06181723,24.95735993,49.01008016,3.567935354,2.646987398,0.519,,,,,
31,32,0.4,890.4294132,449.2484121,58.62562052,22.05077361,40.38086958,3.859894261,2.658665023,0.431,,,,,
32,33,0.7,1539.452122,454.7345057,69.93683736,29.29417881,52.55146875,3.177209053,2.387397094,0.529,,,,,
33,34,0.3,831.1512377,360.9667969,57.30081837,19.24648043,43.18458332,3.950404735,2.977210227,-1,0.465,-1,0.545,,
34,35,0.7,1136.863242,615.7662368,62.89484803,23.82762059,47.71199194,3.47954069,2.639577367,0.513,,,,,
35,36,0.5,1177.813359,424.5409479,60.99207291,25.90883304,45.45991545,3.158423131,2.354103437,0.474,,,,,
36,37,0.3,844.0332441,355.457563,57.40527808,19.63654671,42.98277373,3.904308243,2.923389684,-1,0.444,0.531,0.508,,
37,38,0.5,864.3512053,578.5032715,58.10745256,19.10959724,45.2312623,3.906370492,3.040747109,0.55,,,,,
38,39,0.4,1292.389903,309.5226904,68.09941197,24.89363905,51.91647154,3.588336537,2.735614983,0.48,,,,,
39,40,0.4,948.8697346,421.5794702,58.12053577,21.40145924,44.33668397,3.560021524,2.715727704,0.527,,,,,
40,41,0.6,1134.663875,528.8226878,64.17020143,22.90733666,49.5327716,3.629105362,2.801294729,0.425,,,,,
41,42,0.5,1328.52236,376.3805676,63.96072333,27.04850961,49.11628696,3.079341569,2.364667194,-1,-1,0.435,0.418,,
42,43,0.4,950.5454427,420.8362715,57.59098502,21.9677212,43.27009771,3.489282476,2.621618533,0.557,,,,,
43,44,0.5,1186.820291,421.3190522,64.60801952,24.14780148,49.14817158,3.517125735,2.67552388,0.476,,,,,
44,45,0.4,964.8936937,414.5783133,51.31335647,26.10095938,36.96774818,2.728860775,1.965956719,0.379,0.399,0.424,0.433,,
45,46,1,1476.403604,677.3622047,69.13398113,28.14881783,52.4499328,3.237263398,2.456017213,-1,-1,0.485,-1,,
46,47,0.6,941.1195844,637.5767861,59.12029666,20.89870342,45.03243889,3.713884543,2.828897825,0.624,,,,,
47,48,0.5,1248.71676,400.4350835,64.35048933,25.62139685,48.73726313,3.316192758,2.511591765,0.485,,,,,
48,49,0.4,915.8792306,436.7650086,55.94251382,23.20697617,39.46568583,3.417006029,2.410590394,-1,0.452,0.432,0.45,,
49,50,0.6,986.5731678,608.2022293,61.48642083,21.17112725,46.59993566,3.832031998,2.904258243,0.456,,,,,
50,51,0.3,629.9615291,476.2481297,45.10495688,19.41453533,32.44793236,3.229494249,2.323257091,0.398,,,,,
51,52,0.5,1222.429089,409.0462217,66.86493184,23.29825665,52.46869356,3.657405695,2.869954299,0.621,,,,,
52,53,0.4,982.6980927,407.0670361,62.92853548,20.78049358,47.28944907,4.029722462,3.028250279,0.443,,,,,
53,54,0.3,884.4597029,339.2104796,55.28530482,20.51831948,43.10585493,3.455742437,2.6944363,0.539,,,,,
54,55,0.6,812.9279117,738.117109,53.70947043,20.49474036,39.66519689,3.548540002,2.620646541,0.475,,,,,
55,56,0.5,1169.644282,427.5060441,61.62621955,24.34618835,48.0421931,3.246962341,2.531247137,0.442,0.583,0.476,0.496,,
56,57,0.4,801.7216135,498.9562378,55.33660765,19.26975752,41.60517395,3.81945565,2.871681576,0.376,,,,,
57,58,0.4,957.9813976,417.569695,54.08738926,26.99270256,35.49038469,3.053760422,2.003778212,0.488,,,,,
58,59,0.6,1374.290139,436.6152263,69.81666172,25.26962525,54.38506211,3.546824732,2.7628689,0.511,,,,,
59,60,0.6,1211.746449,495.1828003,63.84380889,25.91396227,46.76036942,3.363766353,2.463683794,0.471,,,,,
60,61,0.5,1547.830663,323.0521348,68.84133191,29.21581744,52.97920095,3.06178776,2.356303466,0.452,,,,,
61,62,0.3,966.8835971,310.293815,58.90199865,21.8880522,44.17403559,3.588276247,2.691057117,0.436,,,,,
62,63,0.4,843.8237805,474.0610649,53.64288465,21.33102565,39.55851885,3.410142188,2.514782249,0.468,0.447,0.348,0.458,,
63,64,0.4,1226.0947,326.2586487,65.45668621,24.3477788,50.3575587,3.494491713,2.688404833,0.433,,,,,
64,65,0.2,802.8736629,249.1201409,51.6838311,20.00911633,40.12539333,3.327071893,2.583014175,0.422,0.409,0.415,0.395,,
65,66,0.3,1075.490431,278.9592463,60.64812435,22.2479192,48.34116941,3.42001647,2.726013332,0.387,,,,,
66,67,0.3,866.5505722,346.2209935,56.06097855,20.0536052,43.21171,3.626831966,2.79555611,0.445,,,,,
67,68,0.1,720.763964,138.75,48.30182858,19.80635093,36.39054799,3.236935753,2.438704068,0.43,,,,,
68,69,0.4,978.2993588,408.8973343,61.0226458,20.37266352,48.02019911,3.806363837,2.995319966,0.47,,,,,
69,70,0.4,844.7663664,473.5321101,55.57832067,19.96954545,42.30273385,3.656572813,2.783154019,0.517,,,,,
70,71,0.6,1043.756708,574.8810957,59.97919389,22.95866044,45.46243937,3.446687979,2.61248665,0.484,,,,,
71,72,0.3,963.6369126,311.3392566,55.39932119,24.70233499,39.00995241,3.184897494,2.242675488,0.463,,,,,
72,73,0.4,856.8105186,466.8756876,51.07267349,22.52203299,38.04321391,3.044334681,2.267675991,0.501,,,,,
73,74,0.6,1495.464784,401.2371315,68.06797315,29.19536335,51.22268101,3.098199984,2.331465183,-1,-1,0.503,0.395,,
74,75,0.5,979.975067,510.2476755,62.70678771,20.03133545,48.92210354,4.012491091,3.130434706,0.474,,,,,
75,76,0.6,1233.321191,486.5204654,72.83543129,22.428352,54.98938092,4.301393739,3.247471383,0.514,,,,,
76,77,0.3,677.6144793,442.7561824,50.02547852,17.71040023,38.26082249,3.693174478,2.82463851,0.473,0.433,0.476,0.435,,
77,78,0.6,1151.63042,521.0317388,64.82597535,23.39577846,49.22385557,3.649093502,2.770840708,0.438,,,,,
78,79,0.4,789.4679977,506.7007164,52.21334693,20.84662719,37.87029866,3.453254097,2.504642427,0.459,,,,,
79,80,0.5,838.6919244,596.2022353,49.967566,22.28533747,37.63424832,2.976966368,2.242172283,0.442,,,,,
80,81,0.4,1083.76424,369.1061075,58.95222256,25.82406099,41.96722739,3.206753293,2.282840897,-1,0.449,0.447,0.502,,
81,82,0.4,1199.702297,333.4360541,63.01222336,24.89640095,48.18778021,3.309604644,2.530977208,0.517,,,,,
