,vTime,vY,Kalman Smoother,Spectral Smoother,Polynomial Smoother,Gaussian Smoother
0,0.002,-4.1123127937315855,8044.34258557818,22822.168308451463,595.9925965960024,22125.322897434235
1,0.0073333333333333,74300.02298354731,8119.674642994334,29712.81484560043,595.98154152542,19109.355123996735
2,0.008,-120.1547241210998,7599.38356534551,20848.837272364002,595.948570395491,16385.455709934235
3,0.0093333333333333,-24653.72053527832,7148.568332301889,9892.426545081396,595.8938425219362,13932.630514621735
4,0.0113333333333333,74468.2288055382,6983.97369906649,8391.769075014696,595.8175166852332,11731.029928684235
5,0.012,-37232.95029831029,6212.0207698728445,11659.01865182391,595.7197511313674,9761.835592746735
6,0.0133333333333333,24714.476997375492,5831.072580292846,9242.274700387017,595.600703572585,8007.327780246735
7,0.0153333333333333,4.079479980468628,5280.173750959103,1432.0996493218768,595.4605311881442,6450.718405246735
8,0.022,-20.623692103794752,4776.759770064169,-2571.9036563112736,595.2993906250672,5076.215475559235
9,0.0266666666666666,-75.13330078125306,4316.522240328746,395.2894862806283,595.1174379988926,3868.9439911842346
10,0.0273333333333333,96.96459960937945,3895.809610463314,3158.266570123571,594.9148288944268,2814.8687958717346
11,0.0286666666666666,99.07415771483689,3509.286585695567,267.47241584044826,594.6917183664963,1900.8365693092346
12,0.0293333333333333,-245.44445800780616,3153.4554727796476,-3312.8411540635375,594.4482609406992,1114.4713349342346
13,0.03,551.7658081055305,2828.2144592408154,-990.0352772602844,594.1846106141579,444.2252411842346
14,0.0306666666666666,-750.0042114257365,2523.4614835622006,3487.878681029786,593.9009208562701,-120.78257131576538
15,0.0313333333333333,-104.60705566405666,2248.169699138477,1673.407832387874,593.5973446094614,-590.6771025657654
16,0.032,403.94659423832144,1994.052905507976,-4185.7482512491915,593.274034289937,-974.9192900657654
17,0.0326666666666666,-1.6065673828186504,1754.2470686789025,-2961.340196720384,592.9311417884337,-1282.3353056907654
18,0.0333333333333333,440.9126586914538,1530.2439145743842,5684.327009078479,592.5688184709717,-1521.1458525657654
19,0.0339999999999999,-175.73594970702885,1316.044741772812,6421.081477454195,592.1872151796066,-1698.9642119407654
20,0.0373333333333333,314.3804626464948,1115.2715951945586,-8321.383375037534,591.7864822331816,-1822.8567900657654
21,0.0386666666666666,-57.94152832030856,921.7064688092375,-21572.02727118774,591.3667694280789,-1899.3812041282654
22,0.04,-73854.76499176762,736.9581743980825,-13187.569903518284,590.9282260389721,-1934.5628447532654
23,0.0406666666666666,73944.22226714747,1223.5353884824185,8785.221247906393,590.4710008195777,-1933.9661650657654
24,0.0413333333333333,-14778.191748047027,1055.6264206587691,16620.52487521083,589.995242003408,-1902.6907744407654
25,0.0446666666666666,73.40520858764229,1030.221816353472,2445.4203314692527,589.5010973045212,-1845.4827666282654
26,0.0453333333333333,-40.879726409910226,1013.4285615180672,-10127.905322661076,588.9887139182755,-1766.5745635032654
27,0.046,87.6184501648037,1006.1240812740143,-498.7321824615973,588.4582385220796,-1669.8694853782654
28,0.0466666666666666,154.92536544799117,1007.0861517099444,19715.845045168127,587.9098172761448,-1558.9495635032654
29,0.0473333333333333,73852.17496490062,1015.717669222232,24231.757434768107,587.3435958242375,-1436.9983916282654
30,0.048,-73918.85736466192,368.8210710734147,7366.135903976234,586.7597192944307,-1306.9192900657654
31,0.0486666666666666,73678.48035049101,390.51357884621484,-12606.150141065587,586.158332299856,-1171.3187041282654
32,0.0493333333333333,-73676.00762558718,-247.3856143257876,-19290.75339235607,585.5395789394556,-1032.5003447532654
33,0.0499999999999999,6.325859069823723,-224.42720939643792,-13496.44153607422,584.9036027987341,-892.5003447532654
34,0.0506666666666666,55.83525466918725,-203.54558208328461,-4593.285532002647,584.2505469505107,-753.1839385032654
35,0.0513333333333333,-84.56343841552349,-184.99838230090353,1247.4419374368572,583.580553955671,-616.0960478782654
36,0.052,-69.31465530396233,-167.35509701349088,2467.344938421455,582.8937658639185,-482.6185088157654
37,0.0526666666666666,101.0265312194772,-150.59417570146397,322.26759247449354,582.1903242145274,-353.9427275657654
38,0.0533333333333333,70.43043136596347,-136.09784075172553,-1582.2041178076586,581.4703700370939,-231.05307912826538
39,0.054,135.02251052857775,-123.46026025104631,-619.1920847860064,580.7340438522882,-114.77964162826538
40,0.0546666666666666,-41.46952056884588,-113.14902468738369,1260.558805914848,579.9814856726067,-5.808938503265381
41,0.0553333333333333,-97.14336776732841,-103.4829046607879,786.6716278017495,579.2128350031237,95.32485055923462
42,0.056,68.21201705933292,-93.87384046623325,-1023.468906384132,578.4282308422434,188.21840524673462
43,0.0566666666666666,-8.097587585448611,-85.7235489894087,-877.6973744218006,577.6278116824518,272.6041474342346
44,0.0573333333333333,-170.9825935363944,-78.27189116521978,770.487942345962,576.8117155110688,348.2721161842346
45,0.0579999999999999,43.9248847961404,-69.9858370196903,795.8167627249268,575.9800798109999,415.1656708717346
46,0.0586666666666666,5.833190917968476,-62.72497937050328,-690.4686940382296,575.1330415614883,473.2701630592346
47,0.0593333333333333,-3.672958374022981,-56.08114525391251,-776.4712352047396,574.2707372388667,522.6754364967346
48,0.06,46.30189132690794,-49.90898481924075,624.7901616276105,573.3933028173094,563.5348114967346
49,0.0606666666666666,14.054180145263924,-44.60272226988433,785.8703496501062,572.500873769584,596.0846161842346
50,0.0613333333333333,2.409381866454674,-39.82437184226424,-522.1551197716869,571.5935850678037,620.5650849342346
51,0.062,-46.41168594360782,-35.426125198022625,-739.8931151772706,570.6715711841789,637.2818818092346
